,Format,Title,Series,Author,Type,Genre,Read?,Year Finished,Rating,Date Added,Notes
1,Paperback,Sabriel,Abhorsen 1,Garth Nix,Fiction,Fantasy,no,,,12/07/2023,
2,Paperback,A Court of Thorns and Roses,ACOTAR 1,Sarah J Maas,Fiction,Fantasy,yes,2021,5,01/12/2020,
3,Paperback,A Court of Mist and Fury,ACOTAR 2,Sarah J Maas,Fiction,Fantasy,yes,2021,5,01/01/2021,
4,Paperback,A Court of Wings and Ruin,ACOTAR 3,Sarah J Maas,Fiction,Fantasy,yes,2021,5,01/01/2021,
5,Paperback,A Court of Frost and Starlight,ACOTAR 3.5,Sarah J Maas,Fiction,Fantasy,yes,2021,3.5,01/01/2021,
6,Paperback & Audiobook,A Court of Silver Flames,ACOTAR 4,Sarah J Maas,Fiction,Fantasy,yes,2021,4,01/01/2021,
7,Paperback,Before the Coffee Gets Cold,BTCGC1,Toshikazu Kawaguchi,Fiction,Contemporary,yes,2019,5,01/11/2019,brithday gift
8,Paperback,Before the Coffee Gets Cold; Tales from the Cafe,BTCGC2,Toshikazu Kawaguchi,Fiction,Contemporary,yes,2023,4,01/09/2021,
9,Paperback,Before Your Memory Fades,BTCGC3,Toshikazu Kawaguchi,Fiction,Contemporary,no,,,01/10/2023,
10,Hardback & eBook,Caraval,Caraval 1,Stephanie Garber,Fiction,Fantasy,yes,2021,5,01/12/2021,Christmas gift (eBook added Mar 2021)
11,Hardback & eBook,Legendary,Caraval 2,Stephanie Garber,Fiction,Fantasy,yes,2022,4,02/12/2021,Christmas gift (eBook added May 2021)
12,Hardback & eBook,Finale,Caraval 3,Stephanie Garber,Fiction,Fantasy,yes,2022,5,03/12/2021,Christmas gift (eBook added Jul 2021)
13,Hardback,Once Upon a Broken Heart,Caraval 4,Stephanie Garber,Fiction,Fantasy,yes,2022,4,01/09/2022,
14,Hardback,The Ballad of Never After,Caraval 5,Stephanie Garber,Fiction,Fantasy,yes,2022,5,13/09/2022,
